"filename" "count" "list"
"88" "OracleDictionary.java" 41 "100, 101, 269, 311, 423, 434, 457, 636, 1260, 1343, 1357, 1385, 1833, 1867, 1991, 2013, 2030, 2055, 2279, 2460, 2465, 2787, 2870, 2930, 3101, 3192, 3223, 3236, 3257, 3497, 3565, 3938, 3957, 4555, 4779, 5165, 5196, 5327, 5512, 5852, 5891"
"89" "JavaVersions.java" 12 "103, 867, 1776, 2449, 2515, 3601, 4075, 5046, 5120, 5624, 5724, 5862"
"90" "LoggingConnectionDecorator.java" 25 "104, 122, 249, 740, 744, 781, 861, 890, 1490, 1561, 1614, 1781, 1924, 1974, 2622, 3410, 3754, 4078, 4235, 4341, 4359, 4532, 4833, 4844, 5590"
"91" "ReportingSQLException.java" 3 "105, 1795, 4834"
"92" "PersistenceMappingDefaults.java" 13 "106, 329, 505, 952, 1046, 1414, 3233, 3860, 3862, 4006, 4418, 4428, 5503"
"93" "SourceCode.java" 12 "107, 274, 295, 1188, 1513, 1899, 2675, 4249, 4900, 5228, 5395, 5748"
"94" "MaxEmbeddedLobFieldStrategy.java" 3 "108, 293, 2970"
"95" "AbstractCriteriaTestCase.java" 11 "110, 210, 821, 3505, 3723, 3790, 3929, 4046, 4324, 4502, 4673"
"96" "ManagedClassSubclasser.java" 6 "112, 981, 3525, 4141, 4880, 5810"
"97" "FinderQueryImpl.java" 4 "113, 2485, 2494, 5637"
"98" "XMLPersistenceMappingSerializer.java" 4 "116, 2404, 4330, 5164"
"99" "XMLPersistenceMetaDataSerializer.java" 1 "117"
"100" "TestJPQLScalarExpressions.java" 6 "118, 958, 962, 1361, 4171, 5476"
"101" "ref_guide_runtime.xml" 4 "119, 1413, 3920, 3925"
"102" "SolidDBDictionary.java" 2 "121, 1309"
"103" "Bootstrap.java" 11 "124, 313, 370, 518, 630, 814, 1229, 1289, 2412, 5025, 5514"
"104" "JDBCPersistenceProductDerivation.java" 8 "127, 1060, 1261, 1912, 2098, 3866, 4588, 4747"
"105" "JDBCStoreManager.java" 75 "130, 134, 200, 256, 266, 364, 608, 617, 754, 819, 955, 960, 1073, 1122, 1319, 1337, 1382, 1443, 1550, 1560, 1587, 1939, 2076, 2086, 2139, 2195, 2513, 2528, 2535, 2575, 2614, 2621, 2719, 2827, 2980, 3046, 3135, 3155, 3314, 3357, 3549, 3588, 3637, 3667, 3767, 3779, 3878, 3946, 4027, 4106, 4335, 4340, 4346, 4656, 4696, 4711, 4765, 4869, 4964, 5204, 5258, 5272, 5293, 5489, 5504, 5507, 5645, 5659, 5702, 5717, 5813, 5855, 5886, 5912, 5944"
"106" "DelegatingFetchConfiguration.java" 14 "131, 667, 1006, 1123, 1330, 1520, 1640, 1967, 2211, 2427, 3105, 3186, 3285, 4517"
"107" "City.java" 1 "136"
"108" "People.java" 1 "137"
"109" "Relation.java" 1 "138"
"110" "TestPersistentGraph.java" 1 "139"
"111" "Vertex.java" 1 "140"
"112" "AbstractJDBCSeq.java" 10 "141, 1625, 1900, 2036, 2283, 2301, 2559, 2954, 3084, 5889"
