"filename" "count" "list"
"94" "ChildrenQuery.java" 71 "97, 100, 682, 686, 1018, 1588, 1708, 1722, 1756, 1779, 2237, 2870, 2897, 2928, 4131, 4142, 4254, 4807, 4821, 4834, 5007, 5010, 5438, 5440, 5555, 5633, 5817, 5937, 6072, 6458, 6466, 6478, 6776, 6797, 7044, 7049, 7294, 7295, 7308, 7364, 7621, 7624, 8211, 8224, 8244, 8527, 8682, 8909, 8913, 9389, 9422, 9762, 9814, 9892, 9900, 10011, 10483, 10487, 10904, 10910, 10927, 10938, 11688, 11991, 12064, 12195, 12197, 12480, 12635, 12680, 13283"
"95" "CustomBoostFactorScorer.java" 1 "98"
"96" "IncludeNestedDocsQuery.java" 4 "99, 8681, 8911, 10931"
"97" "TopChildrenQuery.java" 28 "100, 686, 1588, 1722, 1779, 2237, 2897, 4142, 4821, 5010, 5440, 6466, 7049, 7295, 7624, 8224, 8244, 8682, 8913, 9389, 9900, 10487, 10910, 10938, 11688, 11991, 12197, 12680"
"98" "BigIntArray.java" 4 "102, 5977, 6313, 9829"
"99" "CacheRecycler.java" 7 "103, 1098, 3439, 4135, 11565, 11793, 12258"
"100" "IndicesFilterCache.java" 12 "104, 974, 1941, 4944, 9102, 9404, 9951, 10827, 10841, 10844, 11794, 13117"
"101" "InternalNode.java" 15 "105, 471, 1942, 1945, 2092, 2925, 3564, 3797, 5498, 6022, 8550, 8914, 9201, 11795, 11913"
"102" "NoneRecycler.java" 1 "106"
"103" "QueueRecycler.java" 3 "107, 10291, 11109"
"104" "Recycler.java" 14 "103, 106, 107, 108, 110, 111, 1098, 3439, 4135, 10291, 11109, 11565, 11793, 12258"
"105" "SoftThreadLocalRecycler.java" 1 "110"
"106" "ThreadLocalRecycler.java" 2 "110, 111"
"107" "TransportClient.java" 17 "112, 944, 1085, 1503, 2640, 5349, 5700, 5814, 7035, 7398, 9402, 9878, 11255, 11285, 11798, 11917, 12128"
"108" "FastVectorHighlighter.java" 7 "113, 906, 3774, 3822, 6267, 9503, 13058"
"109" "HighlightPhase.java" 17 "114, 365, 1044, 1589, 1940, 2625, 2783, 3318, 3565, 3684, 5646, 6269, 6957, 11295, 11339, 11586, 13182"
"110" "PluginManagerTests.java" 35 "115, 171, 940, 962, 970, 1210, 2246, 3144, 3399, 3427, 3642, 4278, 4317, 4828, 5003, 5749, 6087, 6212, 6414, 6810, 7225, 7583, 7728, 7888, 8609, 8755, 9032, 9081, 9123, 9314, 10000, 10753, 11998, 12307, 12443"
"111" "ShardValidateQueryRequest.java" 8 "116, 1530, 4705, 6618, 6928, 7010, 11014, 11017"
"112" "TransportValidateQueryAction.java" 22 "117, 838, 1402, 1532, 4784, 5428, 5706, 6648, 6936, 7012, 7616, 7965, 9886, 10084, 10284, 10816, 11015, 11018, 11105, 11801, 12117, 13217"
"113" "ValidateQueryRequest.java" 17 "116, 118, 1530, 1533, 4705, 4791, 6618, 6655, 6928, 6939, 7010, 7013, 11014, 11016, 11017, 11019, 12830"
"114" "IdsQueryParser.java" 8 "119, 463, 1916, 3601, 7114, 7189, 8569, 9558"
"115" "AzureBlobContainer.java" 2 "120, 5782"
"116" "AzureRepository.java" 4 "121, 5784, 6785, 9372"
"117" "AzureSnapshotRestoreITest.java" 15 "122, 487, 1045, 2360, 2620, 3743, 5539, 6786, 7335, 8749, 8918, 9373, 10791, 12062, 12519"
"118" "RestSegmentsAction.java" 1 "123"
"119" "ExtendedIndexSearcher.java" 2 "124, 11821"
"120" "RobinEngine.java" 28 "125, 668, 721, 832, 1104, 1470, 2241, 3544, 3991, 4028, 4292, 4801, 4994, 5147, 5433, 6210, 7918, 7934, 8332, 8874, 9523, 9802, 11042, 11545, 11787, 12496, 12569, 13154"
"121" "InternalTestCluster.java" 43 "126, 1224, 1892, 2038, 2595, 3101, 3364, 3489, 3545, 3886, 4298, 4468, 4472, 4827, 5002, 5214, 6451, 6795, 7180, 7430, 7849, 7885, 8025, 8054, 9884, 9965, 10019, 10041, 10258, 10518, 10744, 10805, 11267, 11366, 11698, 11964, 12169, 12344, 12555, 12694, 12729, 12834, 12862"
"122" "FsGateway.java" 1 "127"
"123" "testing-framework.asciidoc" 3 "128, 4202, 6297"
"124" "DecayFunctionScoreTests.java" 16 "129, 524, 776, 822, 833, 2981, 3004, 5044, 5332, 6490, 8346, 8624, 10044, 12092, 12278, 13134"
"125" "DateHistogramBuilder.java" 5 "130, 803, 3184, 9384, 10721"
"126" "GroovySandboxExpressionChecker.java" 1 "133"
"127" "GroovySandboxScriptTests.java" 2 "134, 7287"
"128" "GroovyScriptEngineService.java" 3 "135, 1834, 2019"
"129" "ScriptModule.java" 4 "136, 705, 2082, 2156"
"130" "ScriptService.java" 25 "137, 447, 483, 2020, 2046, 2583, 3286, 5586, 5984, 5989, 6070, 6754, 7091, 7177, 7419, 7971, 8176, 8963, 9540, 9860, 10942, 11045, 11534, 11803, 12913"
"131" "LocalGatewayIndicesWarmerTests.java" 11 "138, 1338, 3018, 3639, 3994, 5746, 8637, 9338, 9544, 11552, 12441"
"132" "SimpleIndicesWarmerTests.java" 7 "139, 3046, 5598, 6869, 7801, 8661, 11554"
"133" "ElasticsearchIntegrationTest.java" 136 "140, 238, 484, 557, 595, 600, 623, 625, 813, 1022, 1070, 1208, 1212, 1890, 2062, 2119, 2226, 2377, 2594, 2767, 2862, 2866, 3007, 3100, 3630, 3664, 3789, 3798, 3840, 3875, 3937, 3987, 4109, 4151, 4471, 4543, 4880, 4959, 4960, 4998, 5024, 5159, 5161, 5357, 5445, 5448, 5474, 5494, 5512, 5579, 5607, 5734, 5787, 5953, 5965, 6026, 6098, 6436, 6449, 6473, 6494, 6657, 6794, 6895, 6951, 7051, 7061, 7197, 7212, 7800, 7928, 7940, 8062, 8065, 8233, 8312, 8327, 8357, 8491, 8566, 8722, 9022, 9113, 9183, 9316, 9335, 9371, 9449, 9488, 9510, 9595, 9672, 9784, 9855, 9880, 9915, 10094, 10331, 10517, 10608, 10624, 10654, 10758, 10793, 11021, 11024, 11066, 11160, 11172, 11236, 11259, 11279, 11354, 11365, 11379, 11399, 11439, 11454, 11490, 11696, 11947, 12009, 12071, 12168, 12490, 12691, 12703, 12832, 12854, 12921, 13046, 13112, 13135, 13192, 13257, 13296"
